filename,label,preds
00_5585829d-IMG_20191209_124136,5,5
00_57cc7df7-IMG_20200228_101959,3,3
00_59d5bff9-20210203_213714,5,5
00_5a39c33b-IMG_20190430_213316,1,1
00_5afce291-IMG_20190715_193403,3,4
00_5ba91745-SAVE_20190918_212903,4,-1
00_5fcf6c50-SAVE_20190918_205901,1,1
00_60746bf8-20221207_182549,0,0
00_61015715-IMG_20190614_201728,3,-1
00_61f77dcc-IMG_20200228_102051,3,-1
00_64f7073b-IMG_20191025_212158,3,3
00_697ab457-SAVE_20200118_153210,5,5
00_6d0c5545-20230121_195534,3,3
00_6f0af143-IMG_20200311_143659,3,3
00_6ff04d5c-IMG_20191025_212300,3,3
00_718ec056-IMG_20190618_200319,4,-1
00_74b713cf-IMG_20200226_135053,3,-1
00_74c174b7-IMG_20190618_200243,4,4
00_75a8d76e-20220629_191153,5,-1
00_762814ab-IMG_20190501_063959,1,1
00_7651ad02-20220910_183106,5,-1
00_7791a4c0-20220718_220347,3,3
00_7b564c26-IMG_20190618_200254,4,-1
00_803719dd-SAVE_20200202_122129,0,0
00_8169490d-IMG_20200228_102132,3,-1
00_855c383d-SAVE_20190918_210344,4,4
00_85a48914-IMG_20190614_202150,4,4
00_87a263ce-20221008_184036,4,4
00_887f1986-20210203_213532,5,5
00_89073960-20201128_190307,3,3
00_8ce4605e-SAVE_20190918_205901,1,1
00_8d2d1d6c-SAVE_20190918_210425,4,4
00_8e5aa2da-20221025_211733,5,5
00_941c12f1-SAVE_20191105_150757,4,4
00_95c774d3-20220325_210531,4,4
00_96205333-20211208_183125,5,5
00_975a6324-20201201_130431,3,-1
00_97944e75-20221015_203542,2,5
00_979a26bf-IMG_20190618_200217,4,4
00_a083c9be-20211119_185438,5,0
00_a0a7f3e7-IMG_20200228_102142,3,1
00_a1f44675-IMG_20191025_212314,3,-1
00_a3bddef2-IMG_20200830_111029,3,3
00_a498304f-IMG_20200228_102021,3,-1
00_a5b4cb50-IMG_20200203_001017,5,-1
00_a67e8acb-IMG_20191209_124252,4,-1
00_a7786aa1-IMG_20200228_102048,3,3
00_a82b6c1b-20220915_184545,5,5
00_a972b414-20221210_182005,3,-1
00_DSCN9201_2,3,-1
00_DSCN9202_2,3,3
00_DSCN9204_2,3,3
00_DSCN9207_2,3,3
00_DSCN9535_2,5,5
00_DSCN9645_2,3,3
00_DSCN9646_2,3,3
00_DSCN9647_2,3,-1
00_DSCN9650_2,3,3
00_DSCN9651_2,3,0
00_DSCN9653_2,3,3
00_DSCN9654_2,3,3
00_DSCN9655_2,3,3
00_DSCN9656_2,3,3
00_DSCN9659_2,3,3
00_DSCN9819_2,5,5
00_DSCN9823_2,5,5
00_DSCN9824_2,5,-1
00_DSCN9825_2,5,5
00_DSCN9826_2,5,-1
00_DSCN9827_2,5,5
00_home_281,1,-1
00_home_284,1,-1
00_home_285,3,2
00_home_286,3,5
00_home_287,3,3
00_home_290,3,-1
00_home_293,0,0
00_home_295,1,-1
00_home_296,1,1
00_home_297,1,-1
100_IMG_0956,5,5
100_IMG_0957,5,5
100_IMG_0958,5,5
101_DSCN0319,5,5
101_DSCN0320,5,5
101_DSCN0322,5,3
101_DSCN0325,3,3
103_DSCN0137,5,5
103_DSCN0140,5,-1
104_DSCN0156,5,5
104_DSCN0158,5,-1
106_DSCN9963,5,5
106_DSCN9964,5,5
106_DSCN9966,5,5
106_DSCN9981,5,5
107_IMG_0306,5,5
108_DSCN3005,4,4
108_DSCN3008,4,4
108_DSCN3009,4,4
108_DSCN3010,4,-1
108_DSCN3012,4,-1
108_DSCN3013,4,4
108_DSCN3015,4,-1
108_DSCN3016,4,-1
108_DSCN3017,4,4
109_DSCN9483,5,-1
109_DSCN9484,5,5
109_DSCN9485,5,5
109_DSCN9487,5,5
109_DSCN9498,5,5
109_DSCN9499,5,2
110_DSCN4353,5,5
110_DSCN4364,5,5
110_DSCN4365,5,-1
110_DSCN4366,5,-1
111_DSCN9950,5,5
111_DSCN9951,5,5
112_DSCN2314,1,1
112_DSCN2315,1,1
112_DSCN2317,1,-1
112_DSCN2318,1,1
112_DSCN2319,1,1
112_DSCN2320,1,1
112_DSCN3164,1,1
112_DSCN3165,1,1
112_DSCN3166,1,1
112_DSCN3167,1,1
112_DSCN4495,5,4
112_DSCN4497,5,-1
112_DSCN4498,5,-1
112_DSCN4499,5,5
112_DSCN7598,3,1
112_DSCN7599,3,-1
113_DSCN4602,5,5
113_DSCN4603,5,5
113_DSCN4604,5,5
113_DSCN4605,5,-1
113_DSCN4606,5,5
113_DSCN4607,5,5
114_DSCN8984,5,5
114_DSCN8985,5,5
115_20150924_175326,5,5
115_20150924_175344,5,5
115_20150924_175348,5,5
116_IMG_0932,5,5
116_IMG_0933,5,-1
116_IMG_4429,0,0
116_IMG_4430,0,-1
116_IMG_4433,0,0
117_IMG_0059,4,4
117_IMG_0060,4,4
117_IMG_0068,4,4
118_DSCN0139,5,5
119_DSCN0415,5,-1
119_DSCN0417,5,5
119_DSCN0419,5,-1
119_DSCN0420,5,5
119_DSCN3798,5,5
119_DSCN3799,5,1
120_IMG_2885,4,-1
120_IMG_2888,4,-1
120_IMG_2891,4,4
123_DSCN0291,5,5
123_DSCN0293,5,5
123_DSCN0296,5,-1
123_DSCN0297,5,5
124_DSCN0298,5,5
124_IMG_4061,5,5
124_IMG_4062,5,-1
124_IMG_4064,5,1
124_IMG_4065,5,-1
124_IMG_4066,5,2
125_DSCN1319,4,4
125_DSCN1321,4,4
125_DSCN5715,5,5
125_DSCN5720,5,5
125_DSCN5721,5,5
125_DSCN5722,3,-1
125_DSCN5723,2,2
125_DSCN5724,2,2
126_DSCN7683,5,5
126_DSCN7688,5,-1
126_IMG_0084,5,-1
126_IMG_0086,5,4
127_DSCN6545,4,4
127_DSCN6548,4,2
127_DSCN6551,4,-1
127_DSCN6552,4,-1
127_IMG_0220,4,4
127_IMG_0221,4,-1
127_IMG_0222,4,-1
127_IMG_0223,4,-1
127_IMG_0224,4,4
127_IMG_0225,4,4
128_IMG_0782,4,4
128_IMG_0787,4,4
128_IMG_0788,4,0
128_IMG_4368,5,-1
128_IMG_4369,5,5
129_DSCN9212,3,-1
129_DSCN9213,3,3
129_DSCN9630,5,4
129_DSCN9632,5,5
129_DSCN9804,3,3
129_DSCN9808,3,3
129_IMG_5621,5,5
129_IMG_5622,5,5
129_IMG_5623,5,1
12_DSCN6136,0,0
12_DSCN6137,1,-1
12_DSCN6138,1,0
12_DSCN6139,1,1
12_DSCN6142,1,-1
12_DSCN6144,1,-1
12_DSCN6145,1,-1
130_DSCN0373,2,2
130_DSCN8991,4,4
130_DSCN8992,4,4
130_DSCN8993,4,4
130_DSCN9093,5,5
130_DSCN9094,5,-1
131_DSCN9987,5,-1
131_DSCN9988,5,-1
131_DSCN9989,5,5
131_IMG_5331,5,5
131_IMG_5332,5,5
132_DSCN6817,5,5
132_DSCN6818,5,5
133_DSCN8995,5,-1
134_DSCN7266,5,5
134_DSCN7268,5,-1
134_DSCN7269,5,1
135_DSCN0918,5,-1
135_DSCN0920,4,0
135_DSCN0923,4,4
135_DSCN0924,5,5
135_DSCN0925,5,5
136_DSCN5748,5,5
136_DSCN5749,5,-1
136_DSCN5751,5,4
136_DSCN5752,5,5
136_DSCN5753,5,3
136_DSCN5754,5,-1
136_DSCN5756,5,5
137_DSCN0889,3,-1
137_DSCN0890,5,5
137_DSCN0891,5,5
137_DSCN0892,5,5
138_DSCN8655,5,-1
139_DSCN5980,5,5
139_DSCN5981,5,4
13_DSCN8948,5,5
13_DSCN8949,5,1
140_DSCN9618,4,4
140_DSCN9619,5,5
140_DSCN9620,4,4
140_DSCN9621,4,4
140_DSCN9622,4,4
140_DSCN9623,4,4
141_DSCN9086,5,5
142_DSCN6923,5,0
142_DSCN6924,5,5
143_DSCN0444,5,5
143_DSCN0447,5,-1
144_DSCN0036,5,5
144_DSCN0037,5,5
144_DSCN0038,5,5
144_DSCN0039,5,-1
155_DSCN0238,5,5
155_DSCN0239,5,0
155_DSCN0240,5,-1
155_DSCN0241,5,5
155_DSCN6113,5,5
155_DSCN6114,5,5
155_DSCN9784,5,4
156_DSCN0347,3,3
156_DSCN0348,4,-1
156_DSCN0349,4,4
157_DSCN0321,5,5
158_DSCN1899,5,5
158_DSCN1900,5,5
158_DSCN1902,5,0
158_DSCN1904,5,5
158_DSCN1905,5,5
160_DSCN2099,5,5
160_DSCN2100,5,5
162_DSCN9535,5,-1
162_DSCN9819,5,5
162_DSCN9823,5,2
162_DSCN9824,5,5
162_DSCN9825,5,-1
162_DSCN9826,5,5
162_DSCN9827,5,5
163_DSCN0852,5,1
163_DSCN0853,5,5
163_DSCN0854,5,5
164_DSCN4617,4,4
165_DSCN4614,4,4
165_DSCN4618,4,-1
165_DSCN4620,4,4
166_DSCN8006,5,5
166_DSCN8007,5,1
166_DSCN8008,5,5
166_DSCN8009,5,-1
167_DSCN6094,5,5
167_DSCN6588,5,5
167_DSCN6589,5,-1
167_DSCN6590,5,-1
167_DSCN6594,5,4
167_DSCN6595,5,5
167_IMG_0197,5,5
167_IMG_0618,5,2
168_DSCN0898,4,-1
168_DSCN0899,4,4
168_DSCN0900,4,4
168_DSCN0901,4,4
168_DSCN0902,4,5
169_DSCN6934,5,2
169_DSCN6937,5,5
16_DSCN6634,3,3
16_DSCN6635,3,3
16_DSCN7133,3,3
170_DSCN9296,5,3
172_DSCN0390,2,2
172_DSCN0392,2,5
172_DSCN0393,2,-1
172_DSCN0395,2,2
173_DSCN2098,5,5
173_DSCN2101,5,5
173_IMG_3400,5,5
173_IMG_3403,5,5
176_DSCN9223,5,5
176_DSCN9224,5,-1
176_DSCN9227,4,4
176_DSCN9228,4,-1
177_DSCN5944,4,-1
177_DSCN5945,4,4
177_DSCN5946,4,4
177_DSCN5947,4,5
178_IMG_1763,4,4
178_IMG_1764,4,4
178_IMG_1766,4,1
178_IMG_1768,4,4
179_DSCN0409,5,5
179_DSCN0412,5,-1
179_DSCN9147,3,3
179_DSCN9148,3,3
179_DSCN9150,3,3
179_DSCN9151,3,3
17_DSCN3195,3,-1
180_DSCN0435,3,3
183_DSCN7496,5,5
184_DSCN0579,5,-1
184_DSCN0580,5,-1
184_DSCN0582,5,5
184_DSCN0583,5,-1
184_DSCN0584,5,-1
184_DSCN0585,5,5
185_DSCN0343,3,3
185_DSCN0345,5,5
186_IMG_0862,5,5
186_IMG_0863,5,5
187_DSCN1366,5,5
187_DSCN1367,5,5
188_DSCN9828,5,5
189_DSCN9246,5,5
189_DSCN9248,5,-1
189_DSCN9251,5,-1
189_IMG_4166,5,5
189_IMG_4167,5,5
18_IMG_0540,1,-1
18_IMG_0541,1,1
18_IMG_0542,1,1
190_DSCN9041,5,5
190_DSCN9044,5,5
190_DSCN9046,5,5
191_DSCN0118,5,5
191_DSCN0121,5,-1
191_DSCN0122,5,5
191_DSCN0123,5,5
191_DSCN0124,5,5
192_DSCN8389,5,5
192_DSCN8390,5,5
193_DSCN9726,3,-1
194_DSCN9721,3,3
197_IMG_4003,5,-1
197_IMG_4004,5,5
197_IMG_4005,5,5
197_IMG_4006,5,-1
197_IMG_4007,5,0
198_DSCN9222,5,5
19_DSCN7076,4,4
19_DSCN7077,3,3
19_DSCN7096,3,-1
19_DSCN7097,3,3
19_DSCN9751,1,1
19_DSCN9753,1,1
1_DSCN0004,2,2
1_DSCN0007,3,3
1_DSCN0008,3,3
1_DSCN0009,3,-1
1_DSCN0013,2,3
1_DSCN0014,0,0
1_DSCN0015,0,0
1_DSCN0016,0,-1
1_DSCN0017,5,0
1_DSCN0018,5,5
1_DSCN0019,0,-1
21_DSCN7628,3,3
21_DSCN7633,1,-1
21_DSCN7634,1,1
21_DSCN7636,1,-1
21_DSCN7641,1,1
22_DSCN9380,3,3
22_DSCN9381,3,3
24_DSCN5959,3,3
24_DSCN5960,3,-1
24_DSCN5961,3,3
24_DSCN5962,3,3
24_DSCN5963,3,3
24_DSCN5964,3,-1
24_DSCN5967,3,3
24_DSCN5968,3,3
25_IMG_0300,3,3
25_IMG_0301,3,3
25_IMG_0304,3,-1
25_IMG_0305,3,3
25_IMG_0307,5,5
25_IMG_0309,3,3
25_IMG_0314,3,3
26_DSCN7708,3,-1
26_DSCN7713,3,-1
27_DSCN9559,5,0
27_IMG_1323,3,3
27_IMG_1330,3,3
27_IMG_1332,3,-1
27_IMG_1336,2,-1
27_IMG_1337,3,3
27_IMG_1341,2,2
28_DSCN6637,3,-1
28_DSCN6638,3,3
28_DSCN6640,3,-1
28_DSCN6641,3,3
29_DSCN2188,3,-1
29_DSCN2191,3,3
29_DSCN2193,3,3
29_DSCN2195,3,3
29_DSCN2196,3,3
29_DSCN2197,3,-1
29_DSCN2198,3,3
29_DSCN2199,5,0
29_DSCN2200,3,-1
29_DSCN2201,3,3
29_DSCN2202,3,3
30_DSCN7823,3,4
30_DSCN7825,3,3
30_DSCN7826,3,1
30_DSCN7831,3,-1
31_DSCN6513,3,3
31_DSCN6514,3,-1
31_DSCN6515,3,3
31_DSCN6516,3,-1
31_DSCN6519,3,3
32_DSCN0977,3,-1
32_DSCN0982,2,-1
32_DSCN0983,3,3
32_DSCN0984,3,3
32_DSCN0985,3,5
32_DSCN0986,3,3
33_DSCN8748,3,0
33_DSCN8751,3,3
33_DSCN8752,3,3
33_DSCN8754,3,3
33_DSCN8755,3,-1
33_DSCN8756,3,-1
34_DSCN9829,3,-1
34_DSCN9831,3,3
35_IMG_1452,3,3
35_IMG_1453,0,0
36_DSCN7128,3,3
36_DSCN7132,3,-1
36_DSCN7134,3,-1
36_DSCN7135,3,3
36_DSCN7136,3,3
36_DSCN7137,3,3
36_DSCN7139,3,0
36_DSCN7140,3,-1
36_DSCN7141,3,3
36_DSCN7144,4,4
36_DSCN7145,3,-1
36_DSCN7146,4,-1
36_DSCN7147,3,3
37_DSCN5812,3,3
37_DSCN5813,3,3
38_DSCN1163,2,2
38_DSCN1164,2,-1
38_DSCN1165,2,2
38_DSCN1166,3,3
38_DSCN1167,3,3
39_DSCN0513,2,4
39_DSCN0514,3,1
39_DSCN0515,2,2
39_DSCN0516,2,2
39_DSCN0517,2,2
39_DSCN0518,2,2
3_DSCN9207,0,0
3_DSCN9208,3,3
3_DSCN9209,0,0
3_DSCN9210,0,-1
3_DSCN9211,3,0
40_DSCN0532,3,-1
40_DSCN0536,3,3
40_DSCN0540,3,-1
40_DSCN0542,3,3
40_DSCN0543,3,3
40_DSCN0546,3,3
40_IMG_0675,3,3
40_IMG_0679,3,-1
41_DSCN8632,2,4
41_DSCN8633,3,3
41_DSCN8634,3,3
41_DSCN8635,2,5
41_DSCN8636,3,5
41_DSCN8638,3,-1
42_DSCN6066,3,3
42_DSCN6067,3,3
43_IMG_1234,3,3
43_IMG_1236,3,-1
45_DSCN6716,3,3
45_DSCN6719,3,-1
45_DSCN6720,3,-1
45_DSCN6721,3,3
46_DSCN9577,3,4
46_DSCN9578,3,3
46_DSCN9579,3,3
46_DSCN9581,3,3
46_DSCN9582,3,-1
46_DSCN9583,3,3
46_DSCN9586,3,-1
46_DSCN9587,3,0
46_DSCN9589,3,-1
46_DSCN9590,3,3
46_DSCN9591,3,4
46_DSCN9592,3,3
47_DSCN9609,3,-1
47_DSCN9611,3,3
47_DSCN9614,3,-1
47_DSCN9616,3,3
47_DSCN9617,5,5
48_DSCN9686,3,-1
48_DSCN9687,3,3
48_DSCN9688,3,3
4_DSCN3185,1,-1
4_DSCN3186,1,1
4_DSCN3191,1,-1
4_DSCN3194,1,1
50_IMG_0601,3,-1
50_IMG_0606,2,-1
51_DSCN7993,2,-1
51_DSCN7995,2,2
51_IMG_0803,2,-1
52_DSCN0144,3,3
52_DSCN0145,3,3
52_DSCN0147,3,3
52_DSCN0150,1,5
52_DSCN0153,3,3
52_DSCN0154,0,5
52_DSCN0157,0,-1
52_DSCN0159,3,3
52_DSCN0160,3,-1
53_DSCN0300,3,3
53_DSCN0302,3,-1
54_IMG_0985,3,3
54_IMG_0986,3,3
54_IMG_0989,3,1
55_DSCN9629,3,-1
55_DSCN9640,3,3
55_DSCN9641,3,3
55_DSCN9642,3,0
56_DSCN1113,3,3
56_DSCN1115,3,3
56_DSCN1116,3,3
56_DSCN1117,3,3
56_DSCN9645,3,2
56_DSCN9647,3,-1
56_DSCN9648,0,0
56_DSCN9649,3,-1
56_DSCN9651,3,3
56_DSCN9654,3,3
56_DSCN9656,3,3
56_DSCN9657,3,3
56_DSCN9971,3,3
56_DSCN9972,3,3
56_DSCN9974,3,3
56_DSCN9975,3,3
56_DSCN9976,3,-1
56_IMG_3065,0,0
56_IMG_3066,0,3
56_IMG_3067,0,0
56_IMG_3068,3,3
56_IMG_3069,3,3
56_IMG_3070,3,3
56_IMG_3072,3,3
56_IMG_3075,3,-1
56_IMG_3076,3,3
56_IMG_3077,3,5
56_IMG_3078,3,-1
57_20150430_174643,3,3
57_20150430_174651,3,-1
57_20150430_174703,3,-1
57_20150430_174731,3,5
57_20150430_174738,5,1
57_20150430_174759,5,5
57_20150430_174904,5,0
57_20150430_174912,0,5
57_20150430_174953,5,5
57_20150430_174959,5,5
57_20150430_175037,3,3
57_20150430_175042,3,3
57_20150430_175200,3,3
57_20150430_175204,3,3
57_20150430_175222,3,-1
57_20150430_175227,1,1
57_20150430_175233,1,-1
57_20150430_175238,1,1
57_20150430_175242,1,1
57_20150430_175403,3,3
57_20150430_175407,3,3
57_20150430_175414,3,3
57_20150430_175434,3,3
58_DSCN1654,3,3
58_DSCN1656,3,3
58_DSCN1657,3,-1
58_DSCN1659,3,4
58_DSCN1660,3,3
58_DSCN1661,3,-1
58_DSCN1662,3,3
58_DSCN1664,3,4
59_IMG_0818,3,3
59_IMG_0820,3,3
60_IMG_0821,3,3
61_DSCN2291,3,3
61_DSCN2293,3,2
61_DSCN2316,3,-1
61_DSCN2321,3,-1
61_DSCN3464,3,3
61_DSCN3469,3,-1
62_DSCN6849,3,3
62_DSCN6850,3,3
62_DSCN6851,3,3
62_DSCN6853,3,3
62_DSCN6854,3,3
63_DSCN9201,3,3
63_DSCN9202,3,3
63_DSCN9204,3,-1
64_IMG_0786,3,-1
65_DSCN9660,3,-1
66_DSCN7346,3,3
66_DSCN7347,3,-1
68_DSCN9773,3,3
68_DSCN9776,3,3
68_DSCN9783,3,3
68_DSCN9785,5,5
68_DSCN9786,3,3
68_DSCN9792,3,3
68_DSCN9794,3,-1
68_DSCN9796,3,3
69_DSCN4192,3,-1
69_DSCN4194,3,3
70_DSCN9348,3,3
70_DSCN9349,3,3
70_DSCN9352,3,4
71_DSCN9099,3,2
71_DSCN9100,3,3
71_DSCN9122,3,-1
71_DSCN9123,3,3
71_DSCN9126,3,3
71_DSCN9127,3,3
71_DSCN9128,3,3
71_DSCN9129,3,3
71_DSCN9130,3,1
72_DSCN0002,3,-1
73_IMG_0332,3,3
74_DSCN6362,3,-1
74_DSCN6363,3,-1
74_DSCN6364,3,3
74_DSCN6366,3,3
74_DSCN6368,3,1
74_DSCN6369,3,3
74_DSCN6371,3,3
74_DSCN6372,3,-1
74_DSCN6373,3,3
74_DSCN6374,3,3
75_DSCN6899,3,3
75_DSCN6900,3,5
75_DSCN6901,3,5
75_DSCN6902,3,3
76_DSCN9230,3,3
76_DSCN9231,4,4
76_DSCN9232,1,-1
76_DSCN9233,0,0
76_DSCN9235,1,1
76_DSCN9236,3,3
76_DSCN9237,3,3
76_DSCN9238,3,3
78_20160728_175533,3,-1
78_20160728_175540,3,-1
78_20160728_175547,3,3
79_DSCN0961,3,-1
79_DSCN0962,3,-1
79_DSCN0963,3,3
7_DSCN9077,0,0
7_DSCN9078,3,-1
7_DSCN9079,3,3
7_DSCN9080,3,3
7_DSCN9081,3,3
7_DSCN9082,3,3
7_DSCN9083,5,-1
7_DSCN9085,3,3
7_DSCN9087,2,2
7_DSCN9088,2,-1
7_DSCN9089,2,2
7_DSCN9090,3,3
7_DSCN9091,3,3
7_DSCN9098,3,3
80_IMG_0108,3,3
80_IMG_0110,3,3
81_DSCN0847,3,3
81_DSCN0848,3,-1
82_DSCN6925,5,5
82_DSCN6926,3,3
82_DSCN6927,5,5
82_DSCN6932,3,-1
82_DSCN6933,5,5
84_DSCN0151,1,-1
84_DSCN0152,1,-1
84_DSCN0978,3,-1
84_DSCN0979,3,3
84_DSCN0980,3,3
85_DSCN9131,3,3
85_DSCN9132,3,3
85_DSCN9133,3,-1
85_DSCN9134,3,-1
85_DSCN9135,3,3
86_DSCN9787,3,3
87_IMG_0414,1,1
87_IMG_0415,0,-1
87_IMG_0416,1,1
87_IMG_0417,1,1
87_IMG_0418,1,-1
87_IMG_0419,1,1
87_IMG_0420,1,1
87_IMG_7436,1,1
87_IMG_7437,1,3
8_20170809_184707,3,3
8_20170809_184714,3,3
90_DSCN9422,3,-1
90_DSCN9423,3,3
90_DSCN9424,3,0
90_DSCN9425,3,-1
90_DSCN9426,3,-1
90_DSCN9427,3,3
90_DSCN9428,3,-1
90_IMG_3781,3,3
90_IMG_3782,5,5
90_IMG_3783,3,4
90_IMG_3784,3,3
90_IMG_3785,5,-1
91_DSCN9722,5,3
91_DSCN9723,3,3
91_DSCN9724,5,5
91_DSCN9725,5,5
92_DSCN9727,4,4
92_DSCN9728,4,4
92_DSCN9731,4,4
93_DSCN3180,5,-1
93_DSCN3181,5,-1
93_DSCN3182,5,5
93_DSCN3183,5,-1
94_DSCN0135,2,2
94_DSCN0136,2,-1
94_DSCN0138,2,-1
95_DSCN0107,3,-1
95_DSCN0108,3,3
95_DSCN0109,3,3
95_DSCN0110,3,3
95_DSCN0111,3,-1
95_DSCN0112,3,3
96_DSCN0100,4,4
96_DSCN0101,4,0
96_DSCN0102,4,4
96_DSCN0103,4,4
97_DSCN9757,5,-1
98_DSCN1047,3,3
98_DSCN1048,3,5
98_DSCN1049,3,-1
98_DSCN1050,2,2
98_DSCN1051,2,-1
98_DSCN1052,5,3
98_DSCN1053,5,5
98_DSCN1054,5,5
98_DSCN2781,3,1
98_DSCN2782,2,2
98_DSCN2783,3,3
98_DSCN2785,5,5
98_DSCN2787,5,5
99_DSCN8411,5,5
99_DSCN8412,5,5
9_DSCN0173,1,1
9_DSCN0174,2,2
9_DSCN0176,2,5
9_DSCN0181,2,2
9_DSCN0184,4,4
9_DSCN0195,2,-1
9_DSCN0196,2,-1
9_DSCN0197,2,2
9_DSCN5993,5,5
9_DSCN5994,3,3
